file,width,height,source_crop
location_title.png,166,43,"(312, 24, 478, 67)"
location_top_phone_page.png,195,173,"(284, 123, 479, 296)"
location_text_block.png,162,152,"(298, 503, 460, 655)"
location_map_block.png,193,129,"(285, 678, 478, 807)"
location_bottom_rule.png,177,4,"(293, 885, 470, 889)"
location_slide_01.png,193,145,"(80, 309, 273, 454)"
location_slide_02.png,193,145,"(285, 309, 478, 454)"
location_slide_03.png,193,145,"(492, 309, 685, 454)"
location_slide_04.png,192,145,"(686, 309, 878, 454)"
location_slide_05.png,192,145,"(878, 309, 1070, 454)"
location_slide_06.png,193,145,"(1071, 309, 1264, 454)"
location_slide_07.png,193,145,"(1265, 309, 1458, 454)"
