file,width,height,source_crop
transportation_header_block.png,317,216,"(32, 254, 349, 470)"
transportation_text_panel.png,317,326,"(32, 744, 349, 1070)"
transport_photo_slide_01.png,317,237,"(32, 471, 349, 708)"
transport_photo_slide_02.png,317,237,"(367, 471, 684, 708)"
transport_photo_slide_03.png,317,237,"(684, 471, 1001, 708)"
transport_photo_slide_04.png,317,237,"(1001, 471, 1318, 708)"
transport_map_slide_01.png,317,209,"(32, 1072, 349, 1281)"
transport_map_slide_02.png,317,209,"(367, 1072, 684, 1281)"
transport_map_slide_03.png,317,209,"(684, 1072, 1001, 1281)"
transport_time_slide_01.png,317,214,"(32, 1394, 349, 1608)"
transport_time_slide_02.png,317,214,"(367, 1394, 684, 1608)"
